25,35,875
16,45,720
1,39,39
2,36,72
6,13,78
3,36,108
8,34,272
2,34,68
2,39,78
5,41,205
10,26,260
1,40,40
4,40,160
9,40,360
6,40,240
12,33,396
4,34,136
47,45,2115
1,40,40
47,56,2632
6,32,192
46,54,2484
2,39,78
50,54,2700
10,21,210
51,49,2499
2,42,84
49,51,2499
5,34,170
43,56,2408
10,33,330
50,53,2650
6,24,144
42,62,2604
7,35,245
51,55,2805
2,39,78
38,57,2166
6,40,240
41,59,2419
11,16,176
49,49,2401
7,37,259
45,51,2295
6,33,198
44,57,2508
5,42,210
39,61,2379
5,37,185
46,54,2484
6,38,228
37,59,2183
10,22,220
45,60,2700
6,36,216
46,64,2944
5,40,200
41,65,2665
5,38,190
44,57,2508
11,40,440
33,38,1254
6,32,192
45,65,2925
6,42,252
47,61,2867
4,33,132
44,65,2860
6,41,246
48,57,2736
7,41,287
41,62,2542
9,31,279
44,63,2772
6,42,252
45,66,2970
7,39,273
44,66,2904
6,45,270
49,58,2842
6,40,240
44,69,3036
6,40,240
41,70,2870
9,43,387
50,64,3200
12,40,480
45,67,3015
13,32,416
48,59,2832
6,41,246
45,70,3150
10,44,440
47,67,3149
7,43,301
53,66,3498
6,45,270
48,71,3408
6,44,264
50,74,3700
9,36,324
51,73,3723
8,45,360
45,72,3240
7,41,287
50,67,3350
5,42,210
47,69,3243
6,45,270
49,69,3381
5,49,245
52,80,4160
7,53,371
48,87,4176
9,46,414
44,88,3872
6,49,294
19,88,1672
7,49,343
39,92,3588
6,54,324
50,83,4150
6,43,258
42,92,3864
7,46,322
45,88,3960
7,45,315
42,91,3822
6,47,282
37,98,3626
8,52,416
40,97,3880
7,29,203
44,93,4092
12,23,276
47,89,4183
10,29,290
43,95,4085
11,21,231
48,93,4464
7,19,133
42,97,4074
11,47,517
39,101,3939
20,47,940
38,98,3724
18,37,666
39,102,3978
15,46,690
51,81,4131
12,30,360
49,90,4410
11,40,440
44,98,4312
8,45,360
33,108,3564
8,34,272
36,106,3816
17,35,595
32,108,3456
8,37,296
36,108,3888
9,40,360
32,107,3424
13,28,364
32,104,3328
11,27,297
36,96,3456
17,27,459
38,87,3306
14,35,490
31,102,3162
8,41,328
35,101,3535
8,24,192
38,91,3458
13,45,585
34,102,3468
15,32,480
33,99,3267
18,36,648
28,106,2968
21,29,609
44,87,3828
9,34,306
27,98,2646
17,48,816
27,94,2538
